,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive,3PAr,FTr,TS%
167,1983-84,22.0,BOS,NBA,C,35.0,197.0,6.8,16.2,19.5,17.9,4.7,0.2,1.4,21.5,19.4,-0.3,0.3,0.0,-0.008,-5.6,-1.4,-6.9,-0.3,Greg Kite,0,0.0,0.242,0.445
168,1982-83,21.0,SDC,NBA,PF,70.0,2531.0,22.8,12.6,21.6,16.7,10.9,2.4,1.4,12.0,26.0,6.5,2.2,8.7,0.16399999999999998,3.8,-0.8,3.0,3.2,Terry Cummings,0,0.001,0.315,0.557
169,1982-83,21.0,IND,NBA,PF,81.0,2761.0,20.3,12.6,21.3,16.8,11.7,2.4,0.9,12.1,25.5,4.4,2.4,6.8,0.11900000000000001,2.1,-1.2,0.9,2.0,Clark Kellogg,0,0.013000000000000001,0.248,0.516
170,1982-83,23.0,ATL,NBA,SF,82.0,2697.0,16.6,8.9,9.9,9.4,7.7,1.5,1.3,11.6,23.9,2.9,2.9,5.8,0.10300000000000001,1.2,-0.6,0.5,1.7,Dominique Wilkins,0,0.009000000000000001,0.276,0.524
171,1982-83,22.0,CHI,NBA,SG,76.0,2081.0,14.1,4.5,8.9,6.7,20.3,1.6,0.3,15.3,24.8,1.3,0.9,2.1,0.049,-0.7,-1.4,-2.1,-0.1,Quintin Dailey,0,0.025,0.28,0.508
172,1982-83,23.0,CHI,NBA,SF,82.0,2196.0,12.7,7.7,10.1,8.9,10.7,1.4,1.6,13.5,16.6,2.7,1.2,3.8,0.083,-0.1,-0.3,-0.4,0.9,Rod Higgins,0,0.059000000000000004,0.37799999999999995,0.521
173,1982-83,22.0,SDC,NBA,SG,76.0,2022.0,10.3,2.8,4.2,3.4,18.0,1.9,0.1,17.5,17.7,0.6,0.2,0.8,0.018000000000000002,-1.9,-1.7,-3.5,-0.8,Craig Hodges,0,0.128,0.185,0.493
174,1982-83,21.0,LAL,NBA,SF,77.0,1970.0,17.4,9.2,13.0,11.2,8.6,2.1,1.7,17.0,21.0,3.0,2.1,5.1,0.125,1.0,-0.1,0.8,1.4,James Worthy,0,0.005,0.28600000000000003,0.594
175,1982-83,23.0,NYK,NBA,SG,78.0,1830.0,11.6,4.8,9.1,6.9,16.1,1.5,0.2,9.4,17.3,1.5,2.4,4.0,0.10400000000000001,-1.3,0.9,-0.4,0.7,Trent Tucker,0,0.046,0.099,0.485
176,1982-83,22.0,HOU,NBA,SG,73.0,1708.0,10.3,4.4,8.0,6.1,13.5,1.5,0.6,14.2,22.7,-1.4,0.6,-0.8,-0.022000000000000002,-2.6,-1.6,-4.2,-1.0,Terry Teagle,0,0.037000000000000005,0.161,0.45799999999999996
