,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive
241,1995-96,22.0,UTA,NBA,C,57.0,661.0,13.2,0.505,0.0,0.297,10.9,21.3,16.2,1.1,0.4,7.9,10.8,16.0,0.4,1.1,1.4,0.10400000000000001,-2.6,0.5,-2.1,0.0,Greg Ostertag,0
242,1995-96,22.0,SAC,NBA,SF,53.0,609.0,8.5,0.48700000000000004,0.011000000000000001,0.313,10.6,11.1,10.8,6.9,0.9,1.1,19.9,27.5,-1.1,0.3,-0.8,-0.062,-6.3,-2.9,-9.3,-1.1,Corliss Williamson,0
243,1995-96,22.0,TOT,NBA,PG,36.0,405.0,6.5,0.441,0.29,0.46,2.7,9.8,6.3,20.4,2.1,0.4,26.3,18.3,-0.7,0.5,-0.2,-0.021,-4.5,0.5,-4.0,-0.2,Terrence Rencher,0
244,1988-89,25.0,TOT,NBA,SF,33.0,258.0,15.0,0.5429999999999999,0.098,0.33299999999999996,7.1,9.6,8.3,8.1,2.5,1.2,9.3,20.7,0.4,0.3,0.7,0.134,-0.8,0.3,-0.5,0.1,Mark Davis,0
245,1995-96,21.0,PHO,NBA,SG,60.0,590.0,10.5,0.493,0.19399999999999998,0.276,5.4,14.5,10.0,11.4,0.9,0.6,14.1,21.4,-0.1,0.3,0.3,0.021,-3.4,-1.8,-5.2,-0.5,Chris Carr,0
246,1995-96,23.0,IND,NBA,PG,59.0,571.0,11.5,0.545,0.153,0.552,2.5,7.0,4.8,26.8,1.9,0.4,23.7,21.4,0.2,0.5,0.7,0.057,-1.9,-0.4,-2.2,0.0,Travis Best,0
247,1995-96,22.0,CHI,NBA,PF,57.0,545.0,7.9,0.474,0.006,0.42,10.9,12.8,11.9,6.3,1.2,1.0,20.0,19.4,-0.4,0.8,0.4,0.038,-6.1,-1.1,-7.1,-0.7,Jason Caffey,0
248,1995-96,22.0,SAS,NBA,PG,60.0,560.0,8.7,0.506,0.426,0.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,-0.5,0.7,0.2,0.021,-4.2,-0.1,-4.3,-0.3,Cory Alexander,0
249,1995-96,22.0,SEA,NBA,PG,43.0,389.0,10.7,0.473,0.1,0.49,2.9,9.9,6.5,28.2,3.7,0.0,23.8,18.3,-0.2,0.7,0.5,0.061,-4.0,1.6,-2.4,0.0,Eric Snow,1
250,1995-96,23.0,MIN,NBA,SG,41.0,362.0,7.8,0.447,0.314,0.34299999999999997,1.7,6.6,4.1,20.8,3.0,1.1,22.0,19.0,-0.5,0.3,-0.3,-0.033,-4.3,-0.2,-4.6,-0.2,Jerome Allen,0
