,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive
0,1994-95,23.0,CHH,NBA,SF,46.0,424.0,11.2,0.5539999999999999,0.025,0.322,4.1,10.4,7.4,11.6,2.4,0.7,17.8,18.4,-0.1,0.5,0.4,0.049,-3.0,0.7,-2.3,0.0,Darrin Hancock,0
1,1994-95,24.0,HOU,NBA,SF,42.0,340.0,8.9,0.449,0.207,0.405,5.7,5.8,5.7,6.6,1.6,0.8,10.1,20.9,-0.2,0.2,0.0,0.0,-3.7,-1.4,-5.0,-0.3,Tim Breaux,0
2,1994-95,24.0,PHO,NBA,PG,49.0,319.0,15.5,0.545,0.503,0.193,2.9,5.4,4.1,25.8,2.2,0.5,18.0,35.4,-0.1,0.2,0.1,0.009000000000000001,0.8,-3.1,-2.2,0.0,Trevor Ruffin,0
3,1994-95,24.0,ORL,NBA,PG,38.0,246.0,10.5,0.486,0.509,0.105,3.4,7.2,5.3,25.5,2.1,0.6,18.5,25.5,-0.1,0.2,0.1,0.022000000000000002,-3.5,-1.8,-5.3,-0.2,Brooks Thompson,0
4,1993-94,22.0,ORL,NBA,PG,82.0,3015.0,17.4,0.531,0.171,0.302,7.2,9.1,8.2,26.6,3.2,1.1,19.1,21.7,3.8,3.3,7.1,0.11199999999999999,1.9,1.0,2.9,3.8,Anfernee Hardaway,0
5,1993-94,21.0,DAL,NBA,SF,79.0,2896.0,13.2,0.48,0.21600000000000003,0.317,3.9,10.3,6.8,15.8,1.6,0.3,13.5,26.6,-0.2,1.0,0.9,0.013999999999999999,-0.3,-2.2,-2.4,-0.3,Jamal Mashburn,0
6,1993-94,22.0,LAL,NBA,PG,81.0,2700.0,13.6,0.485,0.34700000000000003,0.183,1.8,8.0,4.8,25.4,1.6,0.2,11.3,19.9,2.7,0.7,3.4,0.061,0.6,-1.7,-1.1,0.6,Nick Van Exel,0
7,1993-94,20.0,GSW,NBA,C,76.0,2438.0,21.7,0.5589999999999999,0.013999999999999999,0.342,13.8,17.0,15.4,17.1,1.8,4.1,14.7,23.7,4.6,3.2,7.8,0.154,2.9,1.1,4.0,3.6,Chris Webber,0
8,1993-94,22.0,MIL,NBA,C,82.0,2560.0,16.1,0.526,0.006,0.473,11.8,16.3,13.9,10.6,1.2,3.0,13.4,20.5,2.6,1.7,4.4,0.08199999999999999,0.0,-1.1,-1.2,0.5,Vin Baker,0
9,1993-94,22.0,MIN,NBA,SG,79.0,2415.0,14.2,0.5329999999999999,0.135,0.23800000000000002,5.9,9.3,7.6,15.5,1.1,0.7,15.0,26.2,0.9,0.8,1.7,0.034,0.5,-2.2,-1.7,0.2,Isaiah Rider,0
10,1993-94,23.0,DET,NBA,PG,82.0,2172.0,12.0,0.441,0.23199999999999998,0.159,2.4,7.3,4.8,27.7,2.8,0.3,16.1,23.0,-1.8,1.0,-0.8,-0.017,-1.6,-0.6,-2.2,-0.1,Lindsey Hunter,0
11,1993-94,24.0,CLE,NBA,SF,79.0,2022.0,12.6,0.49200000000000005,0.18,0.26,7.7,15.4,11.5,9.8,1.4,1.6,10.6,18.7,1.7,2.4,4.0,0.096,-1.3,-0.2,-1.4,0.3,Chris Mills,0
12,1993-94,23.0,LAL,NBA,SF,71.0,1762.0,16.1,0.527,0.009000000000000001,0.29,13.0,12.2,12.6,8.2,2.9,1.0,11.9,17.5,2.4,1.5,3.9,0.107,0.4,-0.4,0.1,0.9,George Lynch,0
13,1993-94,24.0,NJN,NBA,C,79.0,1950.0,12.2,0.48,0.015,0.37799999999999995,10.0,16.8,13.3,6.7,1.8,3.0,13.3,11.7,1.4,2.8,4.2,0.105,-1.5,1.5,0.1,1.0,P.J. Brown,1
