,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive
0,2016-17,19.0,LAL,NBA,SF,79.0,2279.0,8.5,0.474,0.273,0.312,2.8,12.7,7.6,10.5,1.1,1.3,12.9,16.8,-1.0,0.7,-0.3,-0.006999999999999999,-3.0,-1.4,-4.4,-1.4,Brandon Ingram,0
1,2016-17,22.0,MEM,NBA,PG,72.0,1474.0,8.7,0.47700000000000004,0.433,0.539,1.7,9.0,5.3,20.0,1.9,1.4,16.0,16.4,0.0,1.5,1.6,0.051,-4.0,0.6,-3.4,-0.5,Andrew Harrison,0
2,2016-17,25.0,MIA,NBA,SG,78.0,1966.0,9.1,0.506,0.478,0.154,5.2,9.2,7.2,8.8,1.2,0.7,10.2,12.3,1.2,1.7,2.9,0.07200000000000001,-1.8,-0.1,-1.9,0.0,Rodney McGruder,0
3,2016-17,22.0,PHI,NBA,C,31.0,786.0,24.1,0.584,0.228,0.569,8.5,25.6,17.0,16.0,1.7,7.7,17.9,36.0,0.5,1.5,1.9,0.11699999999999999,1.9,2.7,4.5,1.3,Joel Embiid,1
4,2016-17,24.0,MIL,NBA,SG,75.0,1982.0,14.9,0.555,0.304,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,2.6,1.5,4.1,0.1,0.0,-0.4,-0.4,0.8,Malcolm Brogdon,0
5,2016-17,23.0,DAL,NBA,PF,81.0,1642.0,7.7,0.486,0.574,0.183,3.7,12.4,7.9,6.0,1.6,1.4,11.1,11.6,-0.1,1.5,1.4,0.040999999999999995,-3.3,0.6,-2.6,-0.3,Dorian Finney-Smith,0
6,2016-17,21.0,BRK,NBA,PG,73.0,1643.0,7.6,0.48700000000000004,0.293,0.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2,-1.7,0.9,-0.8,-0.023,-4.3,-0.8,-5.1,-1.3,Isaiah Whitehead,0
7,2016-17,20.0,OKC,NBA,PF,81.0,1632.0,6.9,0.469,0.331,0.139,3.1,16.4,9.8,7.2,1.2,1.6,14.0,15.4,-1.0,1.8,0.8,0.022000000000000002,-4.5,-0.1,-4.5,-1.0,Domantas Sabonis,0
8,2016-17,19.0,DEN,NBA,SG,82.0,1764.0,11.9,0.518,0.47100000000000003,0.16399999999999998,2.6,10.7,6.7,14.0,1.4,1.1,12.6,21.6,0.6,0.7,1.3,0.037000000000000005,-0.6,-1.4,-2.0,0.0,Jamal Murray,0
9,2016-17,24.0,TOT,NBA,SG,82.0,1888.0,11.8,0.541,0.494,0.099,2.0,13.5,7.8,10.3,1.0,0.4,11.2,21.3,0.0,1.3,1.3,0.032,-0.6,-1.4,-2.0,0.0,Buddy Hield,0
10,2016-17,22.0,TOR,NBA,PF,55.0,859.0,11.5,0.523,0.034,0.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1,0.4,1.2,1.6,0.08900000000000001,-3.0,0.7,-2.4,-0.1,Pascal Siakam,0
11,2016-17,22.0,TOT,NBA,SF,30.0,557.0,9.0,0.511,0.371,0.192,3.0,11.2,7.0,7.0,2.5,1.7,15.0,17.1,-0.3,0.7,0.4,0.032,-4.3,0.6,-3.8,-0.3,Troy Williams,0
12,2016-17,19.0,PHO,NBA,PF,82.0,1743.0,12.3,0.529,0.354,0.28600000000000003,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,0.3,1.5,1.8,0.05,-2.2,-0.1,-2.2,-0.1,Marquese Chriss,0
13,2016-17,22.0,MIN,NBA,PG,78.0,1333.0,8.1,0.43200000000000005,0.233,0.188,2.1,12.6,7.3,19.4,3.0,2.3,20.8,14.2,-1.2,1.3,0.1,0.004,-4.5,1.8,-2.8,-0.3,Kris Dunn,0
14,2016-17,27.0,ATL,NBA,PG,73.0,1248.0,7.5,0.456,0.284,0.24,0.9,9.8,5.4,23.1,1.5,0.1,18.1,18.3,-1.2,1.3,0.1,0.005,-5.3,-0.3,-5.6,-1.1,Malcolm Delaney,0
15,2016-17,24.0,OKC,NBA,PG,64.0,973.0,5.7,0.387,0.28300000000000003,0.139,2.2,7.8,4.9,18.1,1.4,0.6,15.4,12.2,-0.7,0.8,0.1,0.006,-4.8,-0.3,-5.1,-0.8,Semaj Christon,0
16,2016-17,22.0,BRK,NBA,SF,57.0,1237.0,12.3,0.556,0.484,0.245,2.0,13.9,8.0,13.7,1.9,0.5,12.3,16.6,0.8,1.0,1.8,0.07,-1.3,0.3,-1.1,0.3,Caris LeVert,0
17,2016-17,20.0,MEM,NBA,PG,33.0,405.0,6.5,0.40399999999999997,0.191,0.322,3.0,10.2,6.5,22.8,2.3,1.7,22.9,19.1,-0.8,0.5,-0.3,-0.040999999999999995,-5.8,0.3,-5.5,-0.3,Wade Baldwin IV,0
18,2016-17,20.0,BOS,NBA,SF,78.0,1341.0,10.3,0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,1.5,0.053,-3.0,-0.8,-3.7,-0.6,Jaylen Brown,0
19,2016-17,19.0,PHO,NBA,PF,43.0,574.0,5.3,0.44,0.627,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,-0.7,0.3,-0.3,-0.028999999999999998,-4.3,-0.7,-5.1,-0.4,Dragan Bender,0
