,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive
203,2004-05,21.0,DAL,NBA,PG,76.0,1173.0,14.7,0.53,0.358,0.281,2.7,6.9,4.9,22.5,3.4,1.2,16.6,18.8,1.1,1.6,2.7,0.111,-0.1,2.0,1.9,1.2,Devin Harris,0
204,2004-05,23.0,TOT,NBA,C-PF,46.0,705.0,9.6,0.457,0.015,0.377,10.3,19.2,14.6,9.6,1.9,2.1,21.6,19.4,-0.9,0.8,-0.1,-0.006,-4.9,0.1,-4.8,-0.5,Jackson Vroman,0
205,2004-05,20.0,BOS,NBA,PF,71.0,1051.0,16.6,0.5539999999999999,0.008,0.366,13.5,21.0,17.3,3.9,1.1,3.9,13.3,21.2,1.3,1.4,2.7,0.12300000000000001,-1.7,-0.6,-2.3,-0.1,Al Jefferson,0
206,2004-05,22.0,SAS,NBA,PG,80.0,1149.0,14.3,0.5489999999999999,0.364,0.228,1.6,6.8,4.2,22.2,1.9,0.6,15.2,20.5,1.3,1.8,3.1,0.128,0.1,0.8,0.9,0.9,Beno Udrih,0
207,2004-05,29.0,NJN,NBA,SF,25.0,356.0,8.2,0.47,0.596,0.096,2.3,9.9,6.1,8.0,2.1,0.2,8.4,14.1,0.0,0.4,0.4,0.055,-3.2,-0.1,-3.3,-0.1,Billy Thomas,0
208,2004-05,21.0,UTA,NBA,SG,68.0,906.0,8.6,0.456,0.259,0.293,6.7,10.0,8.3,6.8,1.6,1.8,13.5,21.8,-0.7,0.4,-0.2,-0.012,-2.6,-1.8,-4.4,-0.5,Kirk Snyder,0
209,2004-05,23.0,ATL,NBA,PG,62.0,809.0,8.9,0.484,0.045,0.33799999999999997,2.6,9.9,6.0,20.0,2.5,0.7,20.3,15.8,-0.2,0.4,0.2,0.009000000000000001,-5.4,-0.1,-5.5,-0.7,Royal Ivey,0
210,2004-05,19.0,UTA,NBA,PF,67.0,873.0,9.5,0.419,0.021,0.35200000000000004,10.1,18.1,14.0,8.5,1.6,1.7,13.6,20.2,-1.0,0.7,-0.3,-0.019,-3.3,-1.4,-4.6,-0.6,Kris Humphries,0
211,2004-05,21.0,BOS,NBA,SG,39.0,507.0,12.3,0.524,0.43200000000000005,0.174,3.3,11.5,7.5,16.4,2.1,1.2,12.6,17.0,0.5,0.5,0.9,0.09,-0.7,0.5,-0.2,0.2,Delonte West,0
212,2004-05,22.0,TOT,NBA,PG,38.0,483.0,8.6,0.446,0.419,0.153,2.7,6.7,4.7,22.3,2.1,0.1,16.9,15.0,-0.1,0.5,0.4,0.040999999999999995,-3.2,0.4,-2.8,-0.1,Andre Barrett,0
213,2004-05,24.0,LAC,NBA,PG,36.0,433.0,6.5,0.409,0.392,0.192,1.1,7.3,4.3,18.6,1.6,0.0,15.0,17.0,-0.5,0.2,-0.2,-0.025,-3.9,-1.4,-5.3,-0.4,Lionel Chalmers,0
214,2004-05,21.0,ATL,NBA,SG,38.0,433.0,10.6,0.473,0.195,0.425,4.9,9.3,7.0,14.1,2.8,0.9,15.7,16.5,0.0,0.2,0.2,0.026000000000000002,-3.3,-0.3,-3.5,-0.2,Donta Smith,0
215,2004-05,24.0,TOT,NBA,PF,11.0,117.0,14.0,0.574,0.0,0.3,17.3,19.0,18.3,5.4,1.8,2.4,23.6,11.6,0.1,0.1,0.2,0.094,-1.3,-0.7,-1.9,0.0,James Thomas,0
216,2004-05,21.0,SAC,NBA,PG,45.0,455.0,8.7,0.46399999999999997,0.214,0.47,7.1,7.1,7.1,6.8,1.8,0.5,14.5,16.1,-0.1,0.2,0.1,0.016,-3.1,-1.1,-4.2,-0.2,Kevin Martin,0
217,2004-05,23.0,TOR,NBA,C,27.0,255.0,7.8,0.444,0.0,0.466,7.8,17.6,12.7,1.2,2.4,1.1,12.5,14.3,-0.1,0.3,0.2,0.028999999999999998,-5.3,-0.5,-5.8,-0.2,Pape Sow,0
218,2004-05,24.0,ORL,NBA,C,45.0,356.0,12.0,0.505,0.01,0.439,16.6,23.6,20.1,3.5,1.1,2.6,18.2,17.5,0.1,0.4,0.6,0.076,-4.6,-1.2,-5.8,-0.3,Mario Kasun,0
219,2004-05,23.0,TOT,NBA,PG,16.0,77.0,10.1,0.586,0.345,0.069,1.5,3.0,2.2,24.5,1.3,0.0,26.9,23.5,-0.1,0.0,0.0,-0.02,-2.1,-2.7,-4.8,0.0,Luis Flores,0
220,2003-04,19.0,CLE,NBA,SG,79.0,3122.0,18.3,0.488,0.145,0.308,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,2.4,2.6,5.1,0.078,2.3,-0.6,1.7,2.9,LeBron James,1
221,2003-04,19.0,DEN,NBA,SF,82.0,2995.0,17.6,0.509,0.146,0.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,3.7,2.4,6.1,0.098,1.6,-1.6,0.0,1.5,Carmelo Anthony,0
222,2003-04,23.0,CHI,NBA,PG,76.0,2706.0,13.1,0.51,0.44799999999999995,0.204,1.7,9.0,5.2,32.5,1.9,0.6,18.5,18.2,2.1,1.9,4.1,0.07200000000000001,-0.5,-0.4,-0.8,0.8,Kirk Hinrich,1
223,2003-04,22.0,MIA,NBA,PG,61.0,2126.0,17.6,0.53,0.066,0.391,4.6,9.0,6.8,25.1,2.2,1.3,17.3,25.0,2.2,2.3,4.6,0.10300000000000001,1.4,0.1,1.4,1.9,Dwyane Wade,1
224,2003-04,19.0,TOR,NBA,C,75.0,2510.0,15.1,0.513,0.02,0.40399999999999997,8.7,16.9,12.8,5.8,1.3,3.1,11.3,18.3,2.5,3.8,6.2,0.11900000000000001,-1.2,0.5,-0.8,0.8,Chris Bosh,0
225,2003-04,22.0,WAS,NBA,SF,70.0,2044.0,9.4,0.456,0.188,0.141,3.8,10.9,7.2,9.3,1.8,0.4,13.0,18.4,-0.6,1.1,0.5,0.012,-3.0,-1.0,-4.0,-1.1,Jarvis Hayes,0
226,2003-04,20.0,MIL,NBA,PG,55.0,1472.0,12.1,0.44299999999999995,0.053,0.24600000000000002,2.9,10.8,6.8,37.4,2.1,0.1,24.0,17.9,-0.2,0.9,0.7,0.022000000000000002,-1.7,-0.6,-2.4,-0.1,T.J. Ford,0
227,2003-04,21.0,ATL,NBA,SG,76.0,1919.0,8.8,0.483,0.083,0.297,6.6,13.5,10.1,14.9,1.6,1.4,26.3,11.4,-0.3,1.1,0.8,0.021,-2.4,0.1,-2.3,-0.2,Boris Diaw,0
228,2003-04,23.0,ORL,NBA,SF,73.0,1787.0,11.0,0.499,0.41200000000000003,0.22699999999999998,6.6,13.7,10.1,8.7,1.4,0.4,13.1,14.5,1.3,0.0,1.3,0.034,-0.5,-2.0,-2.4,-0.2,Keith Bogans,0
229,2003-04,23.0,MIA,NBA,PF,75.0,1795.0,13.7,0.521,0.006999999999999999,0.409,12.1,18.7,15.4,4.9,1.0,1.1,12.3,15.8,2.7,2.1,4.8,0.128,-1.1,-0.9,-2.0,0.0,Udonis Haslem,0
230,2003-04,23.0,DAL,NBA,SF,67.0,1589.0,15.7,0.485,0.124,0.259,9.9,15.4,12.6,8.8,2.2,2.5,10.2,18.2,2.3,1.2,3.5,0.10400000000000001,0.2,-0.2,-0.1,0.8,Josh Howard,0
231,2003-04,21.0,LAC,NBA,C,82.0,1843.0,9.6,0.502,0.005,0.326,7.7,20.9,14.2,7.7,0.7,2.9,23.8,15.7,-0.9,0.9,0.0,0.001,-3.4,-0.8,-4.2,-1.0,Chris Kaman,0
232,2003-04,21.0,PHO,NBA,PG,70.0,1500.0,12.7,0.5529999999999999,0.447,0.13,1.7,7.6,4.7,18.0,3.2,0.3,19.5,18.6,0.9,1.0,1.9,0.061,-1.3,0.5,-0.8,0.5,Leandro Barbosa,0
233,2003-04,23.0,LAC,NBA,SF,38.0,724.0,10.6,0.519,0.094,0.442,8.3,15.5,11.9,10.6,2.0,0.3,21.1,12.8,0.4,0.3,0.7,0.045,-1.4,-0.7,-2.2,0.0,Matt Barnes,0
234,2003-04,23.0,CHI,NBA,SF,47.0,893.0,9.7,,,,6.5,14.1,10.2,10.6,1.9,1.5,,19.0,-0.4,0.9,0.5,0.027999999999999997,-4.1,-0.1,-4.3,-0.5,Ronald Dupree,0
235,2003-04,23.0,WAS,NBA,PG,75.0,1392.0,10.9,0.509,0.496,0.165,1.4,8.2,4.7,25.8,2.1,0.4,22.7,17.9,0.1,0.7,0.7,0.026000000000000002,-1.5,-1.2,-2.7,-0.2,Steve Blake,0
236,2003-04,23.0,DAL,NBA,SG,56.0,1039.0,20.1,0.536,0.08800000000000001,0.19,6.7,8.6,7.6,17.4,2.6,0.9,9.0,20.6,2.7,0.4,3.2,0.146,2.7,-0.4,2.3,1.1,Marquis Daniels,0
237,2003-04,23.0,CHI,NBA,SF,41.0,734.0,9.6,,,,8.5,19.0,13.6,6.1,2.6,3.2,,15.6,-0.8,1.1,0.4,0.023,-4.4,1.1,-3.3,-0.2,Linton Johnson,0
238,2003-04,22.0,BOS,NBA,PG,81.0,1385.0,11.0,0.48,0.195,0.29600000000000004,2.5,8.4,5.5,21.3,3.3,0.7,20.0,20.5,-0.6,1.4,0.7,0.026000000000000002,-3.4,0.4,-3.0,-0.4,Marcus Banks,0
239,2003-04,22.0,SEA,NBA,PG,69.0,1114.0,13.1,0.496,0.22899999999999998,0.226,3.7,7.7,5.7,23.9,2.5,0.5,17.2,19.3,0.9,0.2,1.2,0.051,-0.9,-0.6,-1.5,0.2,Luke Ridnour,0
240,2003-04,22.0,PHI,NBA,SG,53.0,767.0,10.8,0.46399999999999997,0.171,0.22699999999999998,2.5,7.5,5.0,14.1,1.8,0.5,13.1,27.7,-0.7,0.6,0.0,-0.003,-2.6,-1.2,-3.8,-0.3,Willie Green,0
241,2003-04,27.0,DEN,NBA,C,62.0,875.0,11.2,0.498,0.005,0.226,8.3,18.1,13.1,5.6,2.1,3.1,13.8,12.7,0.6,1.2,1.8,0.09699999999999999,-3.2,1.4,-1.9,0.0,Francisco Elson,0
242,2003-04,21.0,UTA,NBA,SG,57.0,772.0,9.4,0.433,0.129,0.185,3.6,8.0,5.8,18.5,2.0,0.2,13.5,22.8,-0.3,0.5,0.2,0.011000000000000001,-3.1,-0.9,-4.1,-0.4,Mo Williams,0
243,2003-04,25.0,SAC,NBA,PF,73.0,976.0,14.6,0.541,0.0,0.322,10.8,15.2,13.1,7.6,2.2,0.9,12.1,16.4,1.7,0.9,2.6,0.129,-0.8,-0.4,-1.2,0.2,Darius Songaila,0
244,2003-04,23.0,NOH,NBA,PF,71.0,930.0,15.9,0.519,0.009000000000000001,0.35100000000000003,14.0,22.6,18.2,11.1,1.6,2.3,15.4,15.3,1.4,1.3,2.8,0.14300000000000002,-0.8,0.3,-0.5,0.4,David West,0
245,2003-04,23.0,LAL,NBA,C,35.0,442.0,14.0,0.505,0.035,0.19899999999999998,7.8,18.2,12.9,7.4,1.9,2.7,10.0,17.3,0.5,0.7,1.1,0.122,-2.1,0.9,-1.1,0.1,Brian Cook,0
246,2003-04,25.0,ATL,NBA,SF,41.0,507.0,7.2,0.433,0.231,0.20800000000000002,6.8,8.8,7.8,6.0,1.0,1.3,9.6,14.1,0.1,0.1,0.2,0.019,-3.8,-2.4,-6.2,-0.5,Travis Hansen,0
